SiO2med,Al2O3med,Fe2O3Tmed,MnOmed,CaOmed,MgOmed,K2Omed,Na2Omed,TiO2med,P2O5Tmed,LOImed,SiO2mean,Al2O3mean,Fe2O3Tmean,MnOmean,CaOmean,MgOmean,K2Omean,Na2Omean,TiO2mean,P2O5Tmean,LOImean,Basin_ID,RiverNames,TSS_Mt_a,fSiO2,fAl2O3,fFe2O3T,fMnO,fCaO,fMgO,fK2O,fNa2O,fTiO2,fP2O5_tot,fLOI
42.75,22.45,9.8,0.15,1.25,0.8,0.6,1.8,NaN,0.4,17.35,42.75,22.45,9.8,0.15,1.25,0.8,0.6,1.8,NaN,0.4,17.35,4022,Banjir,0,0,0,0,0,0,0,0,0,NaN,0,0
52.75,20.65,7.65,0.1,0.6,1.5,1.25,2.4,NaN,0.2,11.4,52.75,20.65,7.65,0.1,0.6,1.5,1.25,2.4,NaN,0.2,11.4,4023,Gabah,0,0,0,0,0,0,0,0,0,NaN,0,0
54.7,21.5,7.1,0.1,0.8,1.8,1.6,1.4,NaN,0.1,9.6,54.7,21.5,7.1,0.1,0.8,1.8,1.6,1.4,NaN,0.1,9.6,4024,Citarum,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,18.5,8.6,0.1,2.7,1.8,0.8,4.4,NaN,0.3,16.4,43,18.5,8.6,0.1,2.7,1.8,0.8,4.4,NaN,0.3,16.4,4025,Perancis,0,0,0,0,0,0,0,0,0,NaN,0,0
52,19,7.4,0.1,3.3,1.3,1.2,1.1,NaN,0.2,13,52,19,7.4,0.1,3.3,1.3,1.2,1.1,NaN,0.2,13,4026,Bekasi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77.37,10.075,3.54,0.06,1.3,1.185,2,1.315,0.6,0.06,1.9,77.0358333333333,10.1891666666667,3.54583333333333,0.0583333333333333,1.27166666666667,1.21,2.0325,1.4175,0.528333333333333,0.06,2.455,4030,Irrawaddy,325,250.366458333333,33.1147916666667,11.505,0.189583333333333,4.225,3.85125,6.5,4.27375,1.95,0.195,6.175
76.82,11.45,3.41,0.12,0.45,0.61,2.14,0.36,0.5,0.09,3.94,76.82,11.45,3.41,0.12,0.45,0.61,2.14,0.36,0.5,0.09,3.94,4031,Chao Phraya,3,2.3046,0.3435,0.1023,0.0036,0.0135,0.0183,0.0642,0.0108,0.015,0.0027,0.1182
64.4,16.06,6.46,0.15,1.19,1.69,2.02,1.05,0.76,0.12,6.02,64.4,16.06,6.46,0.15,1.19,1.69,2.02,1.05,0.76,0.12,6.02,4032,Sittang,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,15.1,6,0.1,2,2.5,3.1,1.8,0.7,0.2,4.1,66.5,14.4882352941176,5.52058823529412,0.091764705882353,1.98705882352941,2.36529411764706,2.98117647058824,1.73823529411765,0.68,0.159411764705882,3.41470588235294,4034,Brahmaputra,0,0,0,0,0,0,0,0,0,0,0,0
66,12.3,4.9,0.08,3.7,2.12,2.8,1.2,0.78,0.080910525,5.9,64.9142857142857,13.0242857142857,5.12,0.0785714285714286,3.53,2.01142857142857,2.69047619047619,1.15619047619048,0.702857142857143,0.0799581440476191,6.32285714285714,4035,Ganges,520,337.554285714286,67.7262857142857,25.48,0.408571428571429,19.24,11.024,14.56,6.24,4.056,0.42073473,30.68
64.001185181382,11.5816502944728,3.14469005608829,0.0876097704585277,1.74940289715559,0.741995502756054,3.08517648079196,NaN,1.15594787725935,NaN,NaN,64.001185181382,11.5816502944728,3.14469005608829,0.0876097704585277,1.74940289715559,0.741995502756054,3.08517648079196,NaN,1.15594787725935,NaN,NaN,4042,Damodar,28,17.9203318507869,3.24286208245237,0.880513215704721,0.0245307357283878,0.489832811203566,0.207758740771695,0.863849414621748,NaN,0.323665405632619,NaN,NaN
63.1,15.5,6.1,0.1,2.5,2.6,3.1,1.5,0.8,0.16,4.76,64.1857142857143,14.8714285714286,5.81142857142857,0.101428571428571,2.43857142857143,2.43142857142857,2.99571428571429,1.49857142857143,0.704285714285714,0.151428571428571,4.50857142857143,4044,Meghna,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85.06,6.26,2.77,0.03,0.42,0.55,1.38,0.76,0.36,0.05,2.3,85.06,6.26,2.77,0.03,0.42,0.55,1.38,0.76,0.36,0.05,2.3,4045,Houlong,0,0,0,0,0,0,0,0,0,0,0,0
82.09,5.48,2.63,0.05,2.93,0.7,1.25,0.75,0.32,0.09,3.6,82.09,5.48,2.63,0.05,2.93,0.7,1.25,0.75,0.32,0.09,3.6,4046,Tsengwen,12,9.8508,0.6576,0.3156,0.006,0.3516,0.084,0.15,0.09,0.0384,0.0108,0.432
84.38,7.26,2.62,0.02,0.3,0.64,1.61,0.4,0.31,0.05,2.3,84.38,7.26,2.62,0.02,0.3,0.64,1.61,0.4,0.31,0.05,2.3,4047,Da'an,0,0,0,0,0,0,0,0,0,0,0,0
84.52,7.67,2.31,0.03,0.17,0.59,1.94,0.48,0.33,0.05,1.8,84.52,7.67,2.31,0.03,0.17,0.59,1.94,0.48,0.33,0.05,1.8,4048,Dajia,0,0,0,0,0,0,0,0,0,0,0,0
79.41,9.56,3.19,0.03,0.43,0.9,2.16,0.77,0.42,0.07,3,79.41,9.56,3.19,0.03,0.43,0.9,2.16,0.77,0.42,0.07,3,4049,Dadu,0,0,0,0,0,0,0,0,0,0,0,0
75.51,10.59,3.92,0.05,1.24,1.21,2.07,1.04,0.5,0.08,3.7,75.51,10.59,3.92,0.05,1.24,1.21,2.07,1.04,0.5,0.08,3.7,4050,Zhuoshui,0,0,0,0,0,0,0,0,0,0,0,0
67.96,13.08,5.36,0.06,2.16,1.52,2.43,1.2,0.62,0.1,5.3,67.96,13.08,5.36,0.06,2.16,1.52,2.43,1.2,0.62,0.1,5.3,4051,Laonong,0,0,0,0,0,0,0,0,0,0,0,0
68.51,13.83,5.19,0.06,1.71,1.56,2.52,1.33,0.62,0.1,4.4,68.51,13.83,5.19,0.06,1.71,1.56,2.52,1.33,0.62,0.1,4.4,4052,Kaoping,21,14.3871,2.9043,1.0899,0.0126,0.3591,0.3276,0.5292,0.2793,0.1302,0.021,0.924
66.98,15.3,6.1,0.04,0.22,1.8,2.94,1.05,0.69,0.11,4.6,66.98,15.3,6.1,0.04,0.22,1.8,2.94,1.05,0.69,0.11,4.6,4053,Xindian,0,0,0,0,0,0,0,0,0,0,0,0
